x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg_contact,right_leg_contact,euclidean_distance,total_velocity,fast_descent,polar_angle_to_pad,abs_y_velocity,angle_x_angular_vel,x_pos_x_x_vel,y_pos_x_y_vel,low_alt_high_speed,action,next_reward
0.0062045096,1.3994888,0.62843794,-0.50806403,-0.0071827257,-0.14235057,0.0,0.0,1.399503,0.808123,1.000000,1.566363,0.50806403,0.0010224651,0.0038991491,-0.71102995,0.000000,0,0.301970
0.01240921,1.3879846,0.6275891,-0.51134497,-0.014217018,-0.14069918,0.0,0.0,1.388040,0.809532,1.000000,1.561856,0.51134497,0.0020003228,0.007787885,-0.70973897,0.000000,0,0.172032
0.018614197,1.3763832,0.627611,-0.5157095,-0.021246905,-0.14061108,0.0,0.0,1.376509,0.812313,1.000000,1.557273,0.5157095,0.0029875503,0.011682475,-0.7098139,0.000000,0,0.179824
0.02481947,1.3646849,0.62763166,-0.5200387,-0.028275881,-0.1405926,0.0,0.0,1.364911,0.815084,1.000000,1.552611,0.5200387,0.0039753797,0.015577485,-0.709689,0.000000,0,0.185445
0.031024933,1.3528903,0.6276523,-0.5243643,-0.03530373,-0.1405701,0.0,0.0,1.353246,0.817866,1.000000,1.547868,0.5243643,0.004962649,0.019472871,-0.7094073,0.000000,0,0.190824
0.03723059,1.3409988,0.627673,-0.5286892,-0.04233047,-0.14054774,0.0,0.0,1.341516,0.820662,1.000000,1.543040,0.5286892,0.0059494516,0.023368634,-0.70897156,0.000000,0,0.196071
0.04343643,1.3290108,0.62769353,-0.5330145,-0.0493561,-0.14052564,0.0,0.0,1.329720,0.823470,1.000000,1.538125,0.5330145,0.006935797,0.027264766,-0.708382,0.000000,0,0.201227
0.04964266,1.3169265,0.627714,-0.5373399,-0.056380633,-0.14050362,0.0,0.0,1.317862,0.826292,1.000000,1.533118,0.5373399,0.007921683,0.031161392,-0.7076372,0.000000,0,0.206349
0.055849075,1.3047452,0.6277343,-0.5416655,-0.063404076,-0.14048162,0.0,0.0,1.305940,0.829127,1.000000,1.528018,0.5416655,0.008907108,0.03505838,-0.70673543,0.000000,0,0.211339
0.062055778,1.2924676,0.62775457,-0.5459913,-0.07042643,-0.14045985,0.0,0.0,1.293957,0.831975,1.000000,1.522820,0.5459913,0.009892086,0.038955797,-0.7056761,0.000000,0,0.216248
