@RELATION raw_data_agent

@ATTRIBUTE x_position NUMERIC
@ATTRIBUTE y_position NUMERIC
@ATTRIBUTE x_velocity NUMERIC
@ATTRIBUTE y_velocity NUMERIC
@ATTRIBUTE angle NUMERIC
@ATTRIBUTE angular_velocity NUMERIC
@ATTRIBUTE left_leg_contact NUMERIC
@ATTRIBUTE right_leg_contact NUMERIC
@ATTRIBUTE action {0,1,2,3}
@ATTRIBUTE next_reward NUMERIC

@DATA
-0.00058050157,1.4163733,-0.05881094,0.24236916,0.0006794155,0.013321546,0.0,0.0,3,-0.054995
-0.0010861397,1.421759,-0.049328674,0.23936768,-0.00054806704,-0.024551023,0.0,0.0,3,-0.221536
-0.0015254021,1.4270372,-0.0410018,0.23458208,-0.0034440989,-0.05792595,0.0,0.0,3,-0.437768
-0.001874733,1.4322121,-0.029714394,0.22997174,-0.008601413,-0.103155896,0.0,0.0,3,-0.681727
-0.0021318435,1.4372787,-0.018153802,0.22513042,-0.016073897,-0.14946371,0.0,0.0,1,-0.819203
-0.002455139,1.4422619,-0.026464349,0.22139688,-0.021870457,-0.115942046,0.0,0.0,3,-0.733420
-0.0026819229,1.447135,-0.01436342,0.2164331,-0.030094998,-0.16450568,0.0,0.0,1,-0.744079
-0.0030056,1.4519043,-0.02652609,0.21184321,-0.03587753,-0.1156614,0.0,0.0,1,-0.577347
-0.003392601,1.4565703,-0.034468003,0.20726547,-0.04006983,-0.083853565,0.0,0.0,1,-0.539801
-0.0038454055,1.4611543,-0.04272712,0.20366713,-0.042593863,-0.050484836,0.0,0.0,3,-0.242571
-0.004224396,1.4656249,-0.033466075,0.1985644,-0.046983782,-0.08780672,0.0,0.0,1,-0.541793
-0.0046894075,1.4700122,-0.044257354,0.1949202,-0.049196478,-0.044257846,0.0,0.0,3,-0.197707
-0.00508337,1.4742906,-0.03534998,0.19001193,-0.05320311,-0.08014017,0.0,0.0,1,-0.451077
-0.005552292,1.4784744,-0.044748634,0.18586893,-0.055320874,-0.04235895,0.0,0.0,0,-0.200611
-0.0060211183,1.4825611,-0.044743214,0.18154645,-0.057439465,-0.042375978,0.0,0.0,0,-0.191373
-0.0064899446,1.4865505,-0.044737116,0.17722394,-0.05955734,-0.04236172,0.0,0.0,0,-0.182248
-0.00695858,1.4904428,-0.044731118,0.17290138,-0.061674923,-0.042355236,0.0,0.0,0,-0.173151
-0.007427311,1.4942378,-0.044725183,0.16857882,-0.06379216,-0.042348947,0.0,0.0,0,-0.164099
-0.0078958515,1.4979355,-0.044719268,0.16425619,-0.065909095,-0.042342566,0.0,0.0,0,-0.155114
-0.0083644865,1.5015361,-0.044713385,0.15993354,-0.06802569,-0.04233604,0.0,0.0,0,-0.146185
-0.0088329315,1.5050396,-0.04470752,0.15561081,-0.07014198,-0.042329688,0.0,0.0,0,-0.137325
-0.009301281,1.5084459,-0.044701695,0.15128806,-0.07225795,-0.042323478,0.0,0.0,0,-0.128520
-0.009769631,1.511755,-0.044695888,0.14696527,-0.074373625,-0.042317264,0.0,0.0,0,-0.119805
-0.010237885,1.5149668,-0.04469011,0.14264242,-0.076488964,-0.04231102,0.0,0.0,0,-0.111182
-0.010706043,1.5180817,-0.044684365,0.13831952,-0.07860402,-0.04230487,0.0,0.0,0,-0.013918
-0.011175347,1.5210778,-0.044790935,0.13304573,-0.080718935,-0.04229865,0.0,0.0,0,-0.092972
-0.011644649,1.5239767,-0.04479098,0.12872535,-0.082833864,-0.04229872,0.0,0.0,0,-0.084752
-0.012113953,1.5267785,-0.044791024,0.12440498,-0.08494879,-0.042298693,0.0,0.0,0,-0.076674
