@relation InstanceResultListener

@attribute Key_Dataset {data_agent,data_keyboard,raw_data_agent,raw_data_keyboard}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes,weka.classifiers.trees.RandomForest,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.meta.AdaBoostM1}
@attribute Key_Scheme_options {'-C 0.25 -M 2','','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-P 100 -S 1 -I 10 -W weka.classifiers.trees.J48 -- -C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-217733168393644444,5995231201785697655,1116839470751428698,-5990607817048210779,-1178107808933117974}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 219\nSize of the tree: 437\n','Number of leaves: 227\nSize of the tree: 453\n','Number of leaves: 256\nSize of the tree: 511\n','Number of leaves: 237\nSize of the tree: 473\n','Number of leaves: 243\nSize of the tree: 485\n','Number of leaves: 252\nSize of the tree: 503\n','Number of leaves: 224\nSize of the tree: 447\n','Number of leaves: 239\nSize of the tree: 477\n','Number of leaves: 242\nSize of the tree: 483\n','Number of leaves: 261\nSize of the tree: 521\n','Number of leaves: 235\nSize of the tree: 469\n','Number of leaves: 245\nSize of the tree: 489\n','Number of leaves: 263\nSize of the tree: 525\n','Number of leaves: 244\nSize of the tree: 487\n','Number of leaves: 229\nSize of the tree: 457\n','Number of leaves: 257\nSize of the tree: 513\n','Number of leaves: 301\nSize of the tree: 601\n','Number of leaves: 268\nSize of the tree: 535\n','Number of leaves: 251\nSize of the tree: 501\n','Number of leaves: 190\nSize of the tree: 379\n','Number of leaves: 225\nSize of the tree: 449\n','Number of leaves: 248\nSize of the tree: 495\n','Number of leaves: 231\nSize of the tree: 461\n','Number of leaves: 262\nSize of the tree: 523\n','Number of leaves: 226\nSize of the tree: 451\n','Number of leaves: 191\nSize of the tree: 381\n','Number of leaves: 214\nSize of the tree: 427\n','Number of leaves: 218\nSize of the tree: 435\n','Number of leaves: 204\nSize of the tree: 407\n','Number of leaves: 273\nSize of the tree: 545\n','Number of leaves: 230\nSize of the tree: 459\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 240\nSize of the tree: 479\n','Number of leaves: 280\nSize of the tree: 559\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 246\nSize of the tree: 491\n','Number of leaves: 222\nSize of the tree: 443\n','Number of leaves: 221\nSize of the tree: 441\n','Number of leaves: 272\nSize of the tree: 543\n','Number of leaves: 207\nSize of the tree: 413\n','Number of leaves: 254\nSize of the tree: 507\n','Number of leaves: 233\nSize of the tree: 465\n','Number of leaves: 197\nSize of the tree: 393\n','Number of leaves: 216\nSize of the tree: 431\n','Number of leaves: 249\nSize of the tree: 497\n','Number of leaves: 255\nSize of the tree: 509\n','Number of leaves: 271\nSize of the tree: 541\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 300\nSize of the tree: 599\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 241\nSize of the tree: 481\n','Number of leaves: 211\nSize of the tree: 421\n','Number of leaves: 253\nSize of the tree: 505\n','Number of leaves: 258\nSize of the tree: 515\n','Number of leaves: 274\nSize of the tree: 547\n','Number of leaves: 571\nSize of the tree: 1141\n','Number of leaves: 599\nSize of the tree: 1197\n','Number of leaves: 583\nSize of the tree: 1165\n','Number of leaves: 562\nSize of the tree: 1123\n','Number of leaves: 544\nSize of the tree: 1087\n','Number of leaves: 581\nSize of the tree: 1161\n','Number of leaves: 538\nSize of the tree: 1075\n','Number of leaves: 627\nSize of the tree: 1253\n','Number of leaves: 613\nSize of the tree: 1225\n','Number of leaves: 595\nSize of the tree: 1189\n','Number of leaves: 591\nSize of the tree: 1181\n','Number of leaves: 559\nSize of the tree: 1117\n','Number of leaves: 573\nSize of the tree: 1145\n','Number of leaves: 555\nSize of the tree: 1109\n','Number of leaves: 563\nSize of the tree: 1125\n','Number of leaves: 598\nSize of the tree: 1195\n','Number of leaves: 650\nSize of the tree: 1299\n','Number of leaves: 557\nSize of the tree: 1113\n','Number of leaves: 626\nSize of the tree: 1251\n','Number of leaves: 636\nSize of the tree: 1271\n','Number of leaves: 590\nSize of the tree: 1179\n','Number of leaves: 602\nSize of the tree: 1203\n','Number of leaves: 597\nSize of the tree: 1193\n','Number of leaves: 601\nSize of the tree: 1201\n','Number of leaves: 548\nSize of the tree: 1095\n','Number of leaves: 625\nSize of the tree: 1249\n','Number of leaves: 527\nSize of the tree: 1053\n','Number of leaves: 587\nSize of the tree: 1173\n','Number of leaves: 596\nSize of the tree: 1191\n','Number of leaves: 611\nSize of the tree: 1221\n','Number of leaves: 618\nSize of the tree: 1235\n','Number of leaves: 588\nSize of the tree: 1175\n','Number of leaves: 561\nSize of the tree: 1121\n','Number of leaves: 547\nSize of the tree: 1093\n','Number of leaves: 631\nSize of the tree: 1261\n','Number of leaves: 600\nSize of the tree: 1199\n','Number of leaves: 572\nSize of the tree: 1143\n','Number of leaves: 617\nSize of the tree: 1233\n','Number of leaves: 623\nSize of the tree: 1245\n','Number of leaves: 578\nSize of the tree: 1155\n','Number of leaves: 603\nSize of the tree: 1205\n','Number of leaves: 580\nSize of the tree: 1159\n','Number of leaves: 616\nSize of the tree: 1231\n','Number of leaves: 632\nSize of the tree: 1263\n','Number of leaves: 629\nSize of the tree: 1257\n','Number of leaves: 586\nSize of the tree: 1171\n','Number of leaves: 593\nSize of the tree: 1185\n','Number of leaves: 633\nSize of the tree: 1265\n','Number of leaves: 630\nSize of the tree: 1259\n','Number of leaves: 589\nSize of the tree: 1177\n','Number of leaves: 567\nSize of the tree: 1133\n','Number of leaves: 670\nSize of the tree: 1339\n','Number of leaves: 570\nSize of the tree: 1139\n','Number of leaves: 605\nSize of the tree: 1209\n','Number of leaves: 639\nSize of the tree: 1277\n','Number of leaves: 568\nSize of the tree: 1135\n','Number of leaves: 564\nSize of the tree: 1127\n','Number of leaves: 551\nSize of the tree: 1101\n','Number of leaves: 614\nSize of the tree: 1227\n','Number of leaves: 553\nSize of the tree: 1105\n','Number of leaves: 647\nSize of the tree: 1293\n','Number of leaves: 594\nSize of the tree: 1187\n','Number of leaves: 565\nSize of the tree: 1129\n','Number of leaves: 585\nSize of the tree: 1169\n','Number of leaves: 579\nSize of the tree: 1157\n','Number of leaves: 610\nSize of the tree: 1219\n','Number of leaves: 604\nSize of the tree: 1207\n','Number of leaves: 188\nSize of the tree: 375\n','Number of leaves: 232\nSize of the tree: 463\n','Number of leaves: 236\nSize of the tree: 471\n','Number of leaves: 217\nSize of the tree: 433\n','Number of leaves: 234\nSize of the tree: 467\n','Number of leaves: 266\nSize of the tree: 531\n','Number of leaves: 201\nSize of the tree: 401\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 279\nSize of the tree: 557\n','Number of leaves: 202\nSize of the tree: 403\n','Number of leaves: 193\nSize of the tree: 385\n','Number of leaves: 212\nSize of the tree: 423\n','Number of leaves: 206\nSize of the tree: 411\n','Number of leaves: 250\nSize of the tree: 499\n','Number of leaves: 260\nSize of the tree: 519\n','Number of leaves: 173\nSize of the tree: 345\n','Number of leaves: 200\nSize of the tree: 399\n','Number of leaves: 199\nSize of the tree: 397\n','Number of leaves: 213\nSize of the tree: 425\n','Number of leaves: 287\nSize of the tree: 573\n','Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 264\nSize of the tree: 527\n','Number of leaves: 198\nSize of the tree: 395\n','Number of leaves: 265\nSize of the tree: 529\n','Number of leaves: 540\nSize of the tree: 1079\n','Number of leaves: 529\nSize of the tree: 1057\n','Number of leaves: 506\nSize of the tree: 1011\n','Number of leaves: 541\nSize of the tree: 1081\n','Number of leaves: 582\nSize of the tree: 1163\n','Number of leaves: 532\nSize of the tree: 1063\n','Number of leaves: 577\nSize of the tree: 1153\n','Number of leaves: 492\nSize of the tree: 983\n','Number of leaves: 521\nSize of the tree: 1041\n','Number of leaves: 584\nSize of the tree: 1167\n','Number of leaves: 552\nSize of the tree: 1103\n','Number of leaves: 531\nSize of the tree: 1061\n','Number of leaves: 474\nSize of the tree: 947\n','Number of leaves: 518\nSize of the tree: 1035\n','Number of leaves: 534\nSize of the tree: 1067\n','Number of leaves: 482\nSize of the tree: 963\n','Number of leaves: 491\nSize of the tree: 981\n','Number of leaves: 606\nSize of the tree: 1211\n','Number of leaves: 525\nSize of the tree: 1049\n','Number of leaves: 539\nSize of the tree: 1077\n','Number of leaves: 511\nSize of the tree: 1021\n','Number of leaves: 486\nSize of the tree: 971\n','Number of leaves: 558\nSize of the tree: 1115\n','Number of leaves: 556\nSize of the tree: 1111\n','Number of leaves: 514\nSize of the tree: 1027\n','Number of leaves: 498\nSize of the tree: 995\n','Number of leaves: 515\nSize of the tree: 1029\n','Number of leaves: 522\nSize of the tree: 1043\n','Number of leaves: 501\nSize of the tree: 1001\n','Number of leaves: 487\nSize of the tree: 973\n','Number of leaves: 476\nSize of the tree: 951\n','Number of leaves: 528\nSize of the tree: 1055\n','Number of leaves: 510\nSize of the tree: 1019\n','Number of leaves: 550\nSize of the tree: 1099\n','Number of leaves: 520\nSize of the tree: 1039\n','Number of leaves: 536\nSize of the tree: 1071\n','Number of leaves: 478\nSize of the tree: 955\n','Number of leaves: 546\nSize of the tree: 1091\n','Number of leaves: 526\nSize of the tree: 1051\n','Number of leaves: 466\nSize of the tree: 931\n','Number of leaves: 517\nSize of the tree: 1033\n','Number of leaves: 554\nSize of the tree: 1107\n','Number of leaves: 523\nSize of the tree: 1045\n','Number of leaves: 530\nSize of the tree: 1059\n','Number of leaves: 533\nSize of the tree: 1065\n','Number of leaves: 608\nSize of the tree: 1215\n','Number of leaves: 508\nSize of the tree: 1015\n','Number of leaves: 505\nSize of the tree: 1009\n','Number of leaves: 484\nSize of the tree: 967\n','Number of leaves: 569\nSize of the tree: 1137\n','Number of leaves: 560\nSize of the tree: 1119\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

data_agent,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1073,105,0,91.086587,8.913413,0,0.787137,0.059987,0.196609,26.887993,58.889979,1502.88712,25081.962823,-23579.075703,1.275796,21.291989,-20.016193,1113.602682,0.945333,74.09756,0.987165,846,0.190031,61,0.809969,260,0.012835,11,0.932745,0.987165,0.959184,0.843307,0.945463,0.96616,0.910866,0.142078,0.857922,0.089134,0.90748,0.910866,0.906627,0.817653,0.938857,0.908557,0.814325,0.910866,0.517,0.001,0.515625,0,515.625,0,100558,1835498,205838,96.095076,36.948217,'Number of leaves: 219\nSize of the tree: 437\n',437,219,219,?
data_agent,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1084,94,0,92.020374,7.979626,0,0.813875,0.054736,0.19163,24.507946,57.329779,1505.775932,33617.999515,-32112.223583,1.278248,28.5382,-27.259952,1148.04497,0.974571,76.242749,0.981308,840,0.15528,50,0.84472,272,0.018692,16,0.94382,0.981308,0.962199,0.856582,0.940497,0.962283,0.920204,0.116617,0.883383,0.079796,0.917535,0.920204,0.917272,0.836055,0.934583,0.898529,0.841921,0.920204,0.538,0.001,0.515625,0,515.625,0,104110,1835498,205838,96.010187,36.332767,'Number of leaves: 227\nSize of the tree: 453\n',453,227,227,?
data_agent,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1073,105,0,91.086587,8.913413,0,0.790975,0.057343,0.20115,25.675235,60.177937,1505.775932,34744.224956,-33238.449024,1.278248,29.494249,-28.216001,1113.656293,0.945379,73.958965,0.984813,843,0.158385,51,0.841615,271,0.015187,13,0.942953,0.984813,0.963429,0.861077,0.942605,0.963922,0.910866,0.119797,0.880203,0.089134,0.906863,0.910866,0.907629,0.827512,0.932176,0.897006,0.812451,0.910866,0.504,0.001,0.484375,0,484.375,0,116986,1835498,205838,94.991511,33.085739,'Number of leaves: 256\nSize of the tree: 511\n',511,256,256,?
data_agent,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1085,93,0,92.105263,7.894737,0,0.817664,0.056382,0.187911,25.244936,56.217301,1505.775932,34680.041934,-33174.266002,1.278248,29.439764,-28.161516,1148.901609,0.975298,76.29964,0.981308,840,0.130435,42,0.869565,280,0.018692,16,0.952381,0.981308,0.966628,0.874278,0.939902,0.959712,0.921053,0.099171,0.900829,0.078947,0.918109,0.921053,0.91894,0.846608,0.9325,0.900152,0.837788,0.921053,0.421,0,0.390625,0,390.625,0,108550,1835498,205838,94.906621,31.218166,'Number of leaves: 237\nSize of the tree: 473\n',473,237,237,?
data_agent,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1088,90,0,92.359932,7.640068,0,0.819709,0.054636,0.18784,24.463521,56.195962,1505.775932,29341.294455,-27835.518524,1.278248,24.90772,-23.629472,1153.14438,0.9789,76.581406,0.988318,846,0.164596,53,0.835404,269,0.011682,10,0.941046,0.988318,0.964103,0.863502,0.941669,0.963494,0.923599,0.122829,0.877171,0.076401,0.920974,0.923599,0.920558,0.843205,0.935884,0.90394,0.846623,0.923599,0.423,0.001,0.421875,0.015625,421.875,15.625,111214,1835498,205838,96.179966,37.5,'Number of leaves: 243\nSize of the tree: 485\n',485,243,243,?
data_agent,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1070,108,0,90.831919,9.168081,0,0.788586,0.05879,0.203236,26.323267,60.801984,1505.775932,31534.70568,-30028.929748,1.278248,26.769699,-25.491451,1117.07174,0.948278,74.185788,0.970794,831,0.15528,50,0.84472,272,0.029206,25,0.943246,0.970794,0.956822,0.83701,0.949358,0.971928,0.908319,0.117734,0.882266,0.091681,0.905462,0.908319,0.90529,0.813054,0.943523,0.902747,0.817777,0.908319,0.457,0.001,0.453125,0,453.125,0,115210,1835498,205838,94.736842,30.602716,'Number of leaves: 252\nSize of the tree: 503\n',503,252,252,?
data_agent,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10599,1177,1076,101,0,91.418862,8.581138,0,0.795582,0.057686,0.197208,25.848911,59.049894,1502.426954,26177.704922,-24675.277968,1.276488,22.241041,-20.964552,1119.127168,0.95083,74.487959,0.985981,844,0.190031,61,0.809969,260,0.014019,12,0.932597,0.985981,0.958546,0.840943,0.928476,0.954887,0.914189,0.14169,0.85831,0.085811,0.91003,0.914189,0.909847,0.819774,0.925301,0.896231,0.828719,0.914189,0.4,0.001,0.40625,0,406.25,0,102778,1835671,205665,95.242141,36.406117,'Number of leaves: 224\nSize of the tree: 447\n',447,224,224,?
data_agent,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10599,1177,1073,104,0,91.163976,8.836024,0,0.788618,0.058356,0.196636,26.149193,58.878434,1502.426954,28293.49865,-26791.071695,1.276488,24.038656,-22.762168,1115.79549,0.948,74.266206,0.989486,847,0.190031,61,0.809969,260,0.010514,9,0.932819,0.989486,0.960317,0.847938,0.948787,0.969199,0.91164,0.141964,0.858036,0.08836,0.908704,0.91164,0.906877,0.820852,0.939183,0.906184,0.814921,0.91164,0.431,0.001,0.40625,0,406.25,0,109438,1835671,205665,95.412065,31.584537,'Number of leaves: 239\nSize of the tree: 477\n',477,239,239,?
data_agent,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10599,1177,1070,107,0,90.909091,9.090909,0,0.786904,0.059749,0.202085,26.802542,60.584511,1499.269723,35803.775567,-34304.505845,1.273806,30.41952,-29.145714,1100.582014,0.935074,73.407873,0.980163,840,0.159375,51,0.840625,269,0.019837,17,0.942761,0.980163,0.961098,0.851481,0.92832,0.941458,0.909091,0.120869,0.879131,0.090909,0.905272,0.909091,0.906223,0.820607,0.923055,0.884008,0.810391,0.909091,0.4,0.001,0.40625,0,406.25,0,110770,1835671,205665,94.902294,30.501274,'Number of leaves: 242\nSize of the tree: 483\n',483,242,242,?
data_agent,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10599,1177,1086,91,0,92.268479,7.731521,0,0.820166,0.052378,0.187896,23.496139,56.330811,1499.269723,28262.324596,-26763.054873,1.273806,24.01217,-22.738364,1156.022539,0.982177,77.105708,0.980163,840,0.140625,45,0.859375,275,0.019837,17,0.949153,0.980163,0.964409,0.864854,0.933615,0.956303,0.922685,0.106375,0.893625,0.077315,0.919949,0.922685,0.92064,0.843283,0.932901,0.907401,0.84601,0.922685,0.4,0,0.375,0,375,0,119206,1835671,205665,95.412065,32.285472,'Number of leaves: 261\nSize of the tree: 521\n',521,261,261,?
data_agent,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1091,87,0,92.614601,7.385399,0,0.825488,0.053294,0.18581,23.887644,55.655276,1502.88712,26121.685644,-24618.798523,1.275796,22.174606,-20.89881,1153.322086,0.979051,76.740433,0.989498,848,0.158879,51,0.841121,270,0.010502,9,0.94327,0.989498,0.965831,0.869888,0.932382,0.95805,0.926146,0.118709,0.881291,0.073854,0.923471,0.926146,0.923212,0.849236,0.929141,0.906011,0.850696,0.926146,0.406,0.001,0.40625,0,406.25,0,107662,1835498,205838,96.264856,37.287776,'Number of leaves: 235\nSize of the tree: 469\n',469,235,235,?
data_agent,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1086,92,0,92.190153,7.809847,0,0.816226,0.055513,0.192739,24.883196,57.73237,1502.6187,36859.035703,-35356.417003,1.275568,31.289504,-30.013936,1138.194374,0.966209,75.747385,0.984831,844,0.161994,52,0.838006,269,0.015169,13,0.941964,0.984831,0.962921,0.858575,0.936279,0.957121,0.921902,0.121207,0.878793,0.078098,0.919697,0.921902,0.91864,0.838723,0.927148,0.890356,0.843446,0.921902,0.362,0,0.359375,0,359.375,0,112102,1835498,205838,94.821732,36.96944,'Number of leaves: 245\nSize of the tree: 489\n',489,245,245,?
data_agent,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1068,110,0,90.662139,9.337861,0,0.781492,0.058693,0.204058,26.308409,61.122952,1502.6187,39024.566005,-37521.947305,1.275568,33.127815,-31.852247,1107.337261,0.940015,73.693829,0.97783,838,0.165109,53,0.834891,268,0.02217,19,0.940516,0.97783,0.95881,0.842955,0.923336,0.949696,0.906621,0.125133,0.874867,0.093379,0.903558,0.906621,0.903907,0.8138,0.921625,0.892526,0.809269,0.906621,0.444,0.001,0.453125,0,453.125,0,120094,1835498,205838,93.972835,28.926146,'Number of leaves: 263\nSize of the tree: 525\n',525,263,263,?
data_agent,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1087,91,0,92.275042,7.724958,0,0.817043,0.054279,0.186036,24.303558,55.656428,1505.775932,25043.758357,-23537.982426,1.278248,21.259557,-19.981309,1153.895075,0.979537,76.63126,0.992991,850,0.161491,52,0.838509,270,0.007009,6,0.94235,0.992991,0.967008,0.874922,0.957697,0.975382,0.92275,0.120648,0.879352,0.07725,0.919992,0.92275,0.919255,0.848042,0.949525,0.918144,0.836996,0.92275,0.383,0.001,0.375,0,375,0,111658,1835498,205838,95.840407,31.06961,'Number of leaves: 244\nSize of the tree: 487\n',487,244,244,?
data_agent,2,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1076,102,0,91.341256,8.658744,0,0.795988,0.060416,0.199959,27.051136,59.821534,1505.775932,33678.183578,-32172.407647,1.278248,28.58929,-27.311042,1118.135583,0.949181,74.256439,0.977804,837,0.189441,61,0.810559,261,0.022196,19,0.932071,0.977804,0.95439,0.825418,0.913553,0.944257,0.913413,0.141151,0.858849,0.086587,0.911273,0.913413,0.909941,0.812101,0.912406,0.885002,0.834827,0.913413,0.404,0.001,0.40625,0,406.25,0,107662,1835498,205838,93.803056,29.647708,'Number of leaves: 235\nSize of the tree: 469\n',469,235,235,?
data_agent,2,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10598,1178,1086,92,0,92.190153,7.809847,0,0.81484,0.055073,0.190969,24.658851,57.132208,1505.775932,32568.34187,-31062.565938,1.278248,27.647149,-26.368901,1146.161285,0.972972,76.117652,0.98715,845,0.180124,58,0.819876,264,0.01285,11,0.93577,0.98715,0.960773,0.85024,0.919149,0.942828,0.921902,0.133768,0.866232,0.078098,0.919567,0.921902,0.917968,0.834057,0.916475,0.892398,0.846487,0.921902,0.405,0.001,0.390625,0,390.625,0,104998,1835498,205838,95.840407,37.563667,'Number of leaves: 229\nSize of the tree: 457\n',457,229,229,?
data_agent,2,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10599,1177,1084,93,0,92.098556,7.901444,0,0.817129,0.051943,0.184354,23.275592,55.200861,1502.426954,30371.489148,-28869.062193,1.276488,25.804154,-24.527665,1171.058184,0.994952,77.944434,0.981308,840,0.130841,42,0.869159,279,0.018692,16,0.952381,0.981308,0.966628,0.87398,0.958457,0.974813,0.920986,0.099604,0.900396,0.079014,0.918254,0.920986,0.919033,0.846388,0.951352,0.918214,0.837705,0.920986,0.41,0.001,0.40625,0,406.25,0,117430,1835671,205665,95.581988,29.375531,'Number of leaves: 257\nSize of the tree: 513\n',513,257,257,?
data_agent,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260319.2008,10599,1177,1088,89,0,92.438403,7.561597,0,0.823225,0.055256,0.18587,24.759819,55.654828,1502.426954,25041.281396,-23538.854442,1.276488,21.275515,-19.999027,1146.994105,0.974506,76.342753,0.98715,845,0.140187,45,0.859813,276,0.01285,11,0.949438,0.98715,0.967927,0.878451,0.946802,0.965098,0.924384,0.105761,0.894239,0.075616,0.921975,0.924384,0.921988,0.852254,0.943186,0.913028,0.842378,0.924384,0.459,0.001,0.4375,0,437.5,0,104110,1835671,205665,96.17672,36.002549,'Number of leaves: 227\nSize of the tree: 453\n',453,227,227,?
