x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,action
-0.012576866,1.4192841,-0.6360782,0.1841579,0.014422533,0.14259999,0.0,0.0,0
-0.018865775,1.4233327,-0.63610035,0.17985791,0.021547602,0.14251451,0.0,0.0,0
-0.025154972,1.4272848,-0.6361214,0.17553012,0.028671755,0.14249638,0.0,0.0,0
-0.031444263,1.4311404,-0.63614213,0.17120455,0.03579477,0.14247367,0.0,0.0,0
-0.037733935,1.4348996,-0.6361631,0.16687934,0.04291665,0.14245069,0.0,0.0,0
-0.044023894,1.4385622,-0.636184,0.16255401,0.050037395,0.14242812,0.0,0.0,0
-0.050314046,1.442128,-0.6362047,0.15822849,0.057157014,0.14240538,0.0,0.0,0
-0.056604385,1.4455974,-0.63622534,0.15390278,0.06427549,0.14238277,0.0,0.0,0
-0.062895015,1.4489701,-0.63624585,0.1495769,0.07139284,0.1423602,0.0,0.0,0
-0.06918583,1.4522464,-0.6362663,0.14525084,0.07850906,0.14233771,0.0,0.0,0
-0.07547684,1.4554261,-0.6362866,0.14092462,0.085624166,0.1423153,0.0,0.0,0
-0.08176832,1.4585092,-0.63630676,0.13659818,0.09273816,0.14229299,0.0,0.0,0
-0.08806,1.4614958,-0.63632685,0.13227151,0.099851035,0.1422707,0.0,0.0,0
-0.094351865,1.4643855,-0.63634676,0.12794466,0.10696281,0.14224854,0.0,0.0,0
-0.100644015,1.4671786,-0.6363666,0.12361764,0.114073485,0.14222649,0.0,0.0,0
-0.106936455,1.4698753,-0.6363863,0.11929044,0.12118307,0.14220445,0.0,0.0,0
-0.11322918,1.4724753,-0.6364058,0.11496308,0.12829153,0.14218253,0.0,0.0,0
-0.11952219,1.4749784,-0.63642514,0.110635534,0.13539892,0.14216068,0.0,0.0,0
-0.12581539,1.4773853,-0.63644445,0.10630784,0.14250523,0.14213893,0.0,0.0,0
-0.13210888,1.4796953,-0.6364635,0.10197996,0.14961044,0.14211723,0.0,0.0,0
-0.13840275,1.4819088,-0.6364825,0.09765192,0.15671459,0.14209563,0.0,0.0,0
-0.1446968,1.4840257,-0.63650125,0.09332371,0.16381766,0.14207408,0.0,0.0,0
-0.15099116,1.4860461,-0.6365199,0.08899533,0.17091966,0.14205267,0.0,0.0,0
-0.15728578,1.4879696,-0.6365384,0.084666796,0.17802058,0.1420313,0.0,0.0,0
-0.16357298,1.489788,-0.6361932,0.07989766,0.18552305,0.15005304,0.0,0.0,0
-0.16986533,1.4914973,-0.6363045,0.075076215,0.19262318,0.14200301,0.0,0.0,0
-0.17615786,1.4931102,-0.6363033,0.07075205,0.1997233,0.14200252,0.0,0.0,0
-0.18245038,1.4946268,-0.6363021,0.06642789,0.20682342,0.14200225,0.0,0.0,0
-0.18874303,1.4960465,-0.6363008,0.062103726,0.21392351,0.1420021,0.0,0.0,0
-0.19503585,1.4973699,-0.6362995,0.057779565,0.22102362,0.14200172,0.0,0.0,0
-0.20132867,1.4985967,-0.63629806,0.053455416,0.2281237,0.14200124,0.0,0.0,0
-0.20762162,1.4997269,-0.63629663,0.049131278,0.23522373,0.14200082,0.0,0.0,0
-0.21391468,1.5007606,-0.6362952,0.044807147,0.24232376,0.14200032,0.0,0.0,0
-0.22020784,1.5016978,-0.6362937,0.04048302,0.24942374,0.14199978,0.0,0.0,0
-0.22650114,1.5025383,-0.63629216,0.036158904,0.2565237,0.14199927,0.0,0.0,0
-0.23279452,1.5032823,-0.6362906,0.031834792,0.26362363,0.1419988,0.0,0.0,0
-0.23908801,1.5039297,-0.636289,0.027510691,0.27072355,0.14199832,0.0,0.0,0
-0.24538164,1.5044806,-0.63628733,0.023186596,0.27782345,0.14199778,0.0,0.0,0
-0.25167543,1.504935,-0.6362856,0.01886251,0.28492332,0.14199731,0.0,0.0,0
-0.2579693,1.5052929,-0.6362838,0.014538432,0.29202315,0.1419968,0.0,0.0,0
-0.2642633,1.5055542,-0.636282,0.01021436,0.29912296,0.14199632,0.0,0.0,0
-0.27055746,1.505719,-0.6362802,0.005890298,0.30622274,0.14199582,0.0,0.0,0
-0.2768517,1.5057869,-0.6362783,0.001566245,0.31332254,0.14199534,0.0,0.0,0
-0.28314614,1.5057584,-0.63627636,-0.0027577989,0.3204223,0.14199482,0.0,0.0,0
-0.2894407,1.5056335,-0.63627434,-0.007081835,0.327522,0.14199431,0.0,0.0,0
-0.29573542,1.5054119,-0.6362723,-0.01140586,0.3346217,0.1419938,0.0,0.0,0
-0.30203027,1.5050938,-0.6362703,-0.015729876,0.34172136,0.14199331,0.0,0.0,0
-0.30832523,1.5046791,-0.63626814,-0.020053882,0.34882098,0.14199282,0.0,0.0,0
-0.31462044,1.5041678,-0.636266,-0.024377877,0.3559206,0.14199232,0.0,0.0,0
-0.32091576,1.5035601,-0.63626385,-0.028701862,0.3630202,0.14199182,0.0,0.0,0
-0.32721123,1.5028555,-0.6362616,-0.03302584,0.37011978,0.14199135,0.0,0.0,0
-0.33350682,1.5020545,-0.6362594,-0.037349805,0.37721932,0.14199086,0.0,0.0,0
-0.33980265,1.501157,-0.63625705,-0.04167376,0.38431883,0.14199036,0.0,0.0,0
-0.3460986,1.5001628,-0.63625467,-0.0459977,0.3914183,0.14198987,0.0,0.0,0
-0.35239476,1.4990721,-0.6362523,-0.050321635,0.3985178,0.1419894,0.0,0.0,0
-0.35869107,1.4978848,-0.6362498,-0.054645557,0.40561724,0.1419889,0.0,0.0,0
-0.36498755,1.4966009,-0.6362473,-0.058969464,0.41271666,0.14198844,0.0,0.0,0
-0.3712842,1.4952204,-0.6362448,-0.06329336,0.41981605,0.14198796,0.0,0.0,0
