# a0	a1	a2	a3
     -2.3600	    -25.7475	     -1.5209	     -5.6739
    -11.2318	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -11.8051	    -15.8110	      0.0000	      0.0000
      5.1891	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      5.8491	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.2543	      0.0000	      0.0000	      0.2564
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.1752	      0.0000	      1.5973	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -15.7670	      1.7619	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.3723	     -5.1080	      4.4164	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      9.7902	      0.0000	      0.0000	      0.0000
    -20.0000	    -17.3034	      2.4676	      0.0000
    -19.3391	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.8764	    -20.7705	    -14.0494	      0.0000
     10.0082	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -20.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -18.7494	      9.1671	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.9599	    -23.0564	    -13.7922	      2.5161
     11.8439	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -43.6150	    -64.3646	    -44.1083	    -46.0333
    -20.2768	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      3.8242	      0.0000	    -20.5922	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.4039	      5.8106	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -3.4504	      0.0000	     20.9531	      0.0000
      5.0275	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -3.3258	      0.8256	      0.0000	      0.0000
     -6.7208	      1.0451	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -20.0000	      0.0000	      0.0000	      0.0000
     -0.4524	    -20.6055	     11.7610	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      6.0361	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     12.7964	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      5.1294	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.8597	     -2.7356	     -1.0044	      4.2350
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.3167	     -2.2566	     -1.1375	    -14.0327
      2.1603	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -18.7464	     -9.3413	     -5.2575	    -17.2086
      4.0123	      0.0000	      0.0000	      0.0000
    -19.8769	     -6.5971	     -2.5240	      0.0000
    -19.6819	      0.0000	      0.0000	      0.0000
     -9.4869	     -0.5875	      5.1348	    -19.2837
      0.0000	      0.0000	      0.0000	      0.0000
     -0.9273	      0.0000	      0.0000	      0.0000
     -1.0131	      0.0000	      0.0000	      0.0000
      2.2813	     -1.6498	     -2.3690	    -11.8208
      2.3034	      0.0000	      0.0000	      0.0000
     -3.7055	     -2.7288	     -3.0994	      0.0000
     -1.7441	     -1.0341	      0.0000	      0.0000
    -26.3529	    -16.6248	    -21.8876	    -20.1220
     -2.3956	      0.0000	      0.0000	      0.0000
    -23.3621	      0.0000	      0.0000	      0.0000
      3.1722	      0.0000	      0.0000	      0.0000
     -9.4387	     -0.5792	     -1.4009	     29.5649
      0.0000	      0.0000	      0.0000	      8.4431
      0.7058	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -0.9452	     -6.1342	     -2.7756	     19.9760
     -0.7916	     -1.3286	     -4.2725	      4.7222
     -0.0336	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.1472
