# a0	a1	a2	a3
    -40.4884	    -32.1036	    -24.1488	    -19.3363
      0.0000	      0.0000	      0.0000	      0.0000
    -15.3617	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -20.2009	     16.2526	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -20.3639	      3.2023	      0.0000	    -15.4796
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -6.3786	     -6.7351	    -12.0695	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.9618	     -1.0159	     25.9859	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      7.8543	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.5389	      9.7270	      0.0000	      0.0000
    -19.7163	      0.0000	      0.0000	      0.0000
     -0.7422	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.2163	     -1.6575	      6.0198	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      4.3166	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     -1.6156	     -4.5793	     -3.6684	     -0.7419
      0.0000	      0.0000	      0.0000	      0.0000
    -17.2550	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
     10.4630	      0.0000	      0.0000	      0.0000
    -19.7030	      5.2980	      0.0000	      0.0000
    -19.6620	      0.0000	      0.0000	      0.0000
    -18.8534	      0.0000	      0.0000	      0.0000
     -1.9159	    -20.1068	    -20.1010	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -18.4525	     -3.1149	     -2.6910	    -10.9543
      7.2656	      0.0000	      0.0000	      0.0000
     -6.7734	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -13.9207	     -0.6073	     -3.4220	      0.0000
    -25.1044	     -7.2137	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -18.6810	    -21.2281	     -8.9684	    -25.7733
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
   -103.9148	   -121.1610	   -102.2022	    -79.6380
      5.7385	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -20.1150	     -2.1683	     -5.8543	     -3.8369
      0.0000	      0.0000	      0.0000	      0.0000
