# a0	a1	a2	a3
    -27.4391	     -2.6468	    -16.9684	     -8.6723
     -8.2852	    -22.5793	     -6.5744	      0.0000
     -7.0554	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
      0.0000	      0.0000	      0.0000	      0.0000
    -39.0127	    -41.3254	    -24.4031	    -57.4670
    -25.6387	    -30.2360	    -14.8728	    -27.3830
    -11.6664	    -15.3954	    -10.1483	    -16.8601
    -20.2301	    -18.8975	    -36.2414	    -19.6806
     -3.9780	     -4.4410	     -1.8833	     -9.6480
    -70.0595	    -53.4313	    -31.7245	    -55.2983
    -39.0982	    -34.8086	    -11.3888	    -37.5481
     -8.2942	     -6.9620	     -9.9049	    -10.0452
    -16.8560	    -16.3814	     -8.3845	    -15.8761
     -5.8882	     -5.9587	     -6.0518	     -4.7712
    -48.1631	    -45.3188	    -64.9144	    -54.2616
    -22.3768	     23.2631	    -24.3833	    -21.2857
     -9.6162	    -13.6940	     -2.2834	    -13.8135
     -7.7931	     -6.8610	     -5.7790	      0.0000
    -12.7565	     -7.1242	      0.0000	      0.0000
   -122.6344	    -46.0747	   -132.2059	   -140.1579
    -95.1296	    -73.3133	    -93.6641	    -86.8997
    -35.1847	    -32.1471	    -11.1344	    -33.8164
    -34.3327	    -33.7256	    -32.4909	    -33.4339
     -1.5162	     -0.8965	      0.0000	      0.0000
    -26.0308	    -38.5349	    -47.7173	    -38.5369
    -27.2724	    -39.2778	    -31.2511	     -7.4640
    -19.6613	      9.8397	      0.0000	      0.0000
     -6.4778	      0.0000	      0.0000	      0.0000
    -24.1870	    -11.0548	    -14.3268	     -5.8352
    -48.8127	    -24.8294	    -48.9939	    -51.3767
    -26.9708	    -26.3398	    -14.1276	    -19.2104
    -10.6205	     -9.5883	    -25.0521	    -11.6553
     -5.8716	     -3.0825	     -7.1816	    -11.7254
     -9.3463	    -13.0560	     -1.0313	    -10.9859
    -40.9161	    -44.5143	    -46.8187	    -43.2392
    -38.8993	     21.0519	    -44.7580	    -39.0456
    -31.1052	     -9.2902	    -33.4309	    -29.9326
     -8.7324	     10.5950	     -6.7267	     -9.1099
    -20.0296	      2.4980	    -16.0545	    -26.9123
    -24.9860	    -13.9465	    -33.5144	    -26.0037
    -50.3828	    -47.8475	     15.4375	    -48.2758
    -25.5776	    -28.1754	    -10.6502	    -25.6472
     -6.2134	      7.6683	     -7.2065	    -10.6196
    -13.6131	     -1.6769	    -18.5590	    -15.3708
    -81.0935	      0.4228	    -83.1624	    -82.0130
   -115.1176	   -110.0435	    -23.2597	   -123.5313
    -34.2508	    -26.9831	    -14.2622	    -30.1666
    -39.2164	    -38.3528	    -13.5243	    -38.3443
    -86.7509	    -93.8736	    -44.9474	    -94.0021
    -46.6104	    -46.6240	    -44.5006	    -35.8753
    -52.0683	    -43.0882	    -46.2415	    -49.6026
     -9.6108	    -23.9222	    -32.0234	    -20.9486
     -8.8232	    -28.6179	    -22.7922	    -23.7414
    -40.2230	    -46.8571	    -43.5009	    -56.9158
    -27.2824	    -33.3549	    -48.2997	    -39.7557
    -22.6588	    -50.8084	    -49.0611	    -46.2646
    -19.8070	    -19.6395	    -18.2630	    -18.9074
    -34.8250	    -34.5380	    -27.8939	    -29.5999
    -44.3737	    -63.3105	    -56.9827	    -42.9909
    -37.3413	    -38.3341	    -47.0282	    -35.4072
    -47.8841	    -48.2117	    -44.9885	    -41.5508
    -27.8117	    -27.5533	    -30.4998	    -25.1220
    -36.3560	     -6.8160	    -42.7662	    -39.7066
    -70.0368	    -57.4560	    -60.4380	    -63.6688
     -9.4424	     -8.3314	     -7.7024	     -5.1217
    -11.0361	    -12.8430	    -23.9338	    -13.4720
    -19.0577	    -19.3000	    -24.3928	    -19.0165
    -37.4401	      2.9365	    -31.2677	    -44.0418
    -64.1600	    -29.7521	    -59.1074	    -58.7455
     -9.1398	      8.6225	     -6.0915	    -15.0692
    -35.1680	    -58.4318	    -37.4327	    -49.4143
    -21.9395	      2.0769	      0.0000	    -12.8177
    -43.4013	      9.6538	    -43.3919	    -44.1263
