@relation InstanceResultListener

@attribute Key_Dataset {lunar_lander,lunar_lander_filter1,lunar_lander_filter2}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.bayes.NaiveBayes,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,5995231201785697655,8121455039782598361,48055541465867954}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 264\nSize of the tree: 527\n','Number of leaves: 228\nSize of the tree: 455\n','Number of leaves: 241\nSize of the tree: 481\n','Number of leaves: 261\nSize of the tree: 521\n','Number of leaves: 253\nSize of the tree: 505\n','Number of leaves: 238\nSize of the tree: 475\n','Number of leaves: 244\nSize of the tree: 487\n','Number of leaves: 243\nSize of the tree: 485\n','Number of leaves: 247\nSize of the tree: 493\n','Number of leaves: 273\nSize of the tree: 545\n','Number of leaves: 277\nSize of the tree: 553\n','Number of leaves: 255\nSize of the tree: 509\n','Number of leaves: 260\nSize of the tree: 519\n','Number of leaves: 248\nSize of the tree: 495\n','Number of leaves: 259\nSize of the tree: 517\n','Number of leaves: 233\nSize of the tree: 465\n','Number of leaves: 239\nSize of the tree: 477\n','Number of leaves: 263\nSize of the tree: 525\n','Number of leaves: 252\nSize of the tree: 503\n','Number of leaves: 271\nSize of the tree: 541\n','Number of leaves: 269\nSize of the tree: 537\n','Number of leaves: 262\nSize of the tree: 523\n','Number of leaves: 236\nSize of the tree: 471\n','Number of leaves: 225\nSize of the tree: 449\n','Number of leaves: 265\nSize of the tree: 529\n','Number of leaves: 254\nSize of the tree: 507\n','Number of leaves: 258\nSize of the tree: 515\n','Number of leaves: 245\nSize of the tree: 489\n','Number of leaves: 251\nSize of the tree: 501\n','Number of leaves: 266\nSize of the tree: 531\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 256\nSize of the tree: 511\n','Number of leaves: 274\nSize of the tree: 547\n','Number of leaves: 250\nSize of the tree: 499\n','Number of leaves: 249\nSize of the tree: 497\n','Number of leaves: 246\nSize of the tree: 491\n','Number of leaves: 279\nSize of the tree: 557\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 235\nSize of the tree: 469\n','Number of leaves: 232\nSize of the tree: 463\n','Number of leaves: 240\nSize of the tree: 479\n','Number of leaves: 276\nSize of the tree: 551\n','Number of leaves: 242\nSize of the tree: 483\n','Number of leaves: 237\nSize of the tree: 473\n','Number of leaves: 272\nSize of the tree: 543\n','Number of leaves: 268\nSize of the tree: 535\n','Number of leaves: 257\nSize of the tree: 513\n','Number of leaves: 284\nSize of the tree: 567\n','Number of leaves: 283\nSize of the tree: 565\n','Number of leaves: 282\nSize of the tree: 563\n','Number of leaves: 278\nSize of the tree: 555\n','Number of leaves: 208\nSize of the tree: 415\n','Number of leaves: 231\nSize of the tree: 461\n','Number of leaves: 220\nSize of the tree: 439\n','Number of leaves: 223\nSize of the tree: 445\n','Number of leaves: 281\nSize of the tree: 561\n','Number of leaves: 214\nSize of the tree: 427\n','Number of leaves: 234\nSize of the tree: 467\n','Number of leaves: 211\nSize of the tree: 421\n','Number of leaves: 286\nSize of the tree: 571\n','Number of leaves: 222\nSize of the tree: 443\n','Number of leaves: 218\nSize of the tree: 435\n','Number of leaves: 219\nSize of the tree: 437\n','Number of leaves: 280\nSize of the tree: 559\n','Number of leaves: 217\nSize of the tree: 433\n','Number of leaves: 221\nSize of the tree: 441\n','Number of leaves: 224\nSize of the tree: 447\n','Number of leaves: 230\nSize of the tree: 459\n','Number of leaves: 297\nSize of the tree: 593\n','Number of rules: 150\n','Number of rules: 134\n','Number of rules: 153\n','Number of rules: 139\n','Number of rules: 142\n','Number of rules: 163\n','Number of rules: 143\n','Number of rules: 145\n','Number of rules: 154\n','Number of rules: 137\n','Number of rules: 135\n','Number of rules: 148\n','Number of rules: 160\n','Number of rules: 138\n','Number of rules: 152\n','Number of rules: 141\n','Number of rules: 157\n','Number of rules: 155\n','Number of rules: 156\n','Number of rules: 146\n','Number of rules: 140\n','Number of rules: 149\n','Number of rules: 130\n','Number of rules: 131\n','Number of rules: 147\n','Number of rules: 151\n','Number of rules: 132\n','Number of rules: 136\n','Number of rules: 158\n','Number of rules: 133\n','Number of rules: 165\n','Number of rules: 162\n','Number of rules: 144\n','Number of rules: 159\n','Number of rules: 125\n','Number of rules: 127\n','Number of rules: 161\n','Number of rules: 129\n','Number of rules: 128\n','Number of rules: 107\n','Number of rules: 117\n','Number of rules: 108\n','Number of rules: 120\n','Number of rules: 110\n','Number of rules: 115\n','Number of rules: 126\n','Number of rules: 109\n','Number of rules: 113\n','Number of rules: 112\n','Number of rules: 123\n','Number of rules: 119\n','Number of rules: 99\n','Number of rules: 121\n','Number of rules: 103\n','Number of rules: 102\n','Number of rules: 124\n','Number of rules: 111\n','Number of rules: 105\n','Number of rules: 91\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

lunar_lander,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4842,539,492,47,0,91.280148,8.719852,0,0.779895,0.054649,0.196645,26.223762,60.890977,651.136275,21591.186951,-20940.050675,1.208045,40.057861,-38.849816,481.722609,0.893734,73.981842,0.965347,390,0.22963,31,0.77037,104,0.034653,14,0.926366,0.965347,0.945455,0.770879,0.89394,0.929596,0.912801,0.17487,0.82513,0.087199,0.910769,0.912801,0.910449,0.776048,0.900895,0.894059,0.841315,0.912801,0.527,0.011,0.5,0,500,0,125093,490757,56154,95.361781,31.493506,'Number of leaves: 275\nSize of the tree: 549\n',549,275,275
lunar_lander,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,483,55,0,89.776952,10.223048,0,0.742196,0.061652,0.214989,29.64312,66.719703,647.559081,28051.179589,-27403.620508,1.203641,52.139739,-50.936098,457.333256,0.850062,70.624175,0.95297,385,0.253731,34,0.746269,100,0.04703,19,0.918854,0.95297,0.935601,0.728598,0.866392,0.915777,0.89777,0.194235,0.805765,0.10223,0.897368,0.89777,0.895711,0.736352,0.875578,0.869998,0.816288,0.89777,0.261,0.006,0.265625,0,265.625,0,120209,490858,56053,94.237918,31.319703,'Number of leaves: 264\nSize of the tree: 527\n',527,264,264
lunar_lander,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,475,63,0,88.289963,11.710037,0,0.696282,0.07216,0.233975,34.696751,72.614657,647.403321,28101.999636,-27454.596314,1.203352,52.2342,-51.030848,419.208781,0.779198,64.752337,0.95297,385,0.320896,43,0.679104,91,0.04703,19,0.899533,0.95297,0.925481,0.677787,0.853933,0.916028,0.8829,0.244287,0.755713,0.1171,0.88025,0.8829,0.878246,0.68855,0.86597,0.85703,0.781537,0.8829,0.142,0,0.15625,0,156.25,0,104225,490858,56053,93.122677,32.156134,'Number of leaves: 228\nSize of the tree: 455\n',455,228,228
lunar_lander,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,469,69,0,87.174721,12.825279,0,0.674534,0.074595,0.238697,35.867218,74.080348,647.403321,31310.553225,-30663.149904,1.203352,58.198054,-56.994702,414.825913,0.771052,64.075345,0.940594,380,0.30597,41,0.69403,93,0.059406,24,0.902613,0.940594,0.921212,0.665312,0.840143,0.89837,0.871747,0.234486,0.765514,0.128253,0.867852,0.871747,0.867436,0.67044,0.852266,0.83459,0.754557,0.871747,0.14,0.002,0.140625,0,140.625,0,109997,490858,56053,92.750929,31.505576,'Number of leaves: 241\nSize of the tree: 481\n',481,241,241
lunar_lander,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,478,60,0,88.847584,11.152416,0,0.728143,0.066647,0.226833,32.045715,70.398362,647.403321,34488.624244,-33841.220923,1.203352,64.10525,-62.901898,443.406795,0.824176,68.49004,0.938119,379,0.216418,29,0.783582,105,0.061881,25,0.928922,0.938119,0.933498,0.729119,0.880542,0.927227,0.888476,0.167707,0.832293,0.111524,0.88769,0.888476,0.887408,0.728858,0.884546,0.860444,0.790302,0.888476,0.17,0,0.171875,0,171.875,0,118877,490858,56053,93.122677,31.133829,'Number of leaves: 261\nSize of the tree: 521\n',521,261,261
lunar_lander,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,477,61,0,88.66171,11.33829,0,0.709526,0.066317,0.22716,31.887102,70.499835,647.403321,27017.275478,-26369.872157,1.203352,50.217984,-49.014632,435.179848,0.808884,67.21928,0.955446,386,0.283582,38,0.716418,96,0.044554,18,0.910377,0.955446,0.932367,0.711031,0.88249,0.933112,0.886617,0.216846,0.783154,0.113383,0.882341,0.886617,0.881935,0.711505,0.888642,0.867992,0.776472,0.886617,0.142,0.002,0.125,0,125,0,115325,490858,56053,93.494424,32.574349,'Number of leaves: 253\nSize of the tree: 505\n',505,253,253
lunar_lander,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,489,49,0,90.892193,9.107807,0,0.768989,0.059167,0.206772,28.44902,64.172361,647.403321,24827.112794,-24179.709473,1.203352,46.14705,-44.943698,465.964777,0.866106,71.974419,0.965347,390,0.231343,31,0.768657,103,0.034653,14,0.926366,0.965347,0.945455,0.769497,0.880431,0.921712,0.908922,0.176754,0.823246,0.091078,0.906453,0.908922,0.906393,0.770378,0.88786,0.87848,0.828535,0.908922,0.138,0.002,0.140625,0,140.625,0,120209,490858,56053,94.237918,31.784387,'Number of leaves: 264\nSize of the tree: 527\n',527,264,264
lunar_lander,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,488,50,0,90.70632,9.29368,0,0.765027,0.056086,0.199418,26.967541,61.889939,647.403321,22662.591824,-22015.188502,1.203352,42.123777,-40.920425,481.41955,0.894832,74.361613,0.960396,388,0.238806,32,0.761194,102,0.039604,16,0.92381,0.960396,0.941748,0.754168,0.908296,0.943696,0.907063,0.182382,0.817618,0.092937,0.905616,0.907063,0.904445,0.760128,0.914673,0.900434,0.831447,0.907063,0.117,0,0.125,0,125,0,108665,490858,56053,95.35316,32.156134,'Number of leaves: 238\nSize of the tree: 475\n',475,238,238
lunar_lander,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,471,67,0,87.546468,12.453532,0,0.687962,0.072982,0.230522,34.998218,71.327908,650.721662,28090.265773,-27439.544111,1.20952,52.21239,-51.00287,424.783836,0.789561,65.278884,0.945409,381,0.274074,37,0.725926,98,0.054591,22,0.911483,0.945409,0.928136,0.699166,0.857522,0.909127,0.875465,0.210442,0.789558,0.124535,0.87073,0.875465,0.870211,0.693962,0.864658,0.850839,0.751358,0.875465,0.124,0.001,0.125,0,125,0,111329,490858,56053,93.122677,31.552045,'Number of leaves: 244\nSize of the tree: 487\n',487,244,244
lunar_lander,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4843,538,474,64,0,88.104089,11.895911,0,0.698267,0.070826,0.228277,33.963947,70.633444,650.721662,25942.641079,-25291.919417,1.20952,48.220522,-47.011003,432.044128,0.803056,66.394613,0.950372,383,0.288889,39,0.711111,96,0.049628,20,0.907583,0.950372,0.928485,0.697354,0.884955,0.931446,0.881041,0.220659,0.779341,0.118959,0.876797,0.881041,0.877373,0.699131,0.889669,0.873936,0.773982,0.881041,0.123,0,0.125,0,125,0,110885,490858,56053,94.237918,32.434944,'Number of leaves: 243\nSize of the tree: 485\n',485,243,243
lunar_lander,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20260301.1439,4842,539,480,59,0,89.053803,10.946197,0,0.72449,0.064138,0.21901,30.777509,67.816259,651.136275,30191.554156,-29540.417881,1.208045,56.014015,-54.80597,451.923283,0.838448,69.40533,0.950495,384,0.266667,36,0.733333,99,0.049505,20,0.914286,0.950495,0.932039,0.714343,0.883673,0.928375,0.890538,0.203781,0.796219,0.109462,0.888463,0.890538,0.887435,0.720145,0.891238,0.873332,0.795553,0.890538,0.127,0.001,0.125,0,125,0,112661,490757,56154,94.06308,31.818182,'Number of leaves: 247\nSize of the tree: 493\n',493,247,247
