@RELATION lunar_lander_filter2

@ATTRIBUTE angle         NUMERIC
@ATTRIBUTE angular_vel   NUMERIC
@ATTRIBUTE left_leg      {0, 1}
@ATTRIBUTE right_leg     {0, 1}
@ATTRIBUTE action        {nothing, left_engine, main_engine, right_engine}

@DATA
0.0002,0.0014,0,0,nothing
0.0002,0.0014,0,0,nothing
0.0003,0.0014,0,0,nothing
0.0004,0.0014,0,0,nothing
0.0004,0.0014,0,0,nothing
0.0005,0.0014,0,0,nothing
0.0006,0.0014,0,0,nothing
0.0006,0.0014,0,0,nothing
0.0007,0.0014,0,0,nothing
0.0008,0.0014,0,0,nothing
0.0009,0.0014,0,0,nothing
0.0009,0.0014,0,0,nothing
0.0010,0.0014,0,0,nothing
0.0011,0.0014,0,0,nothing
0.0011,0.0014,0,0,nothing
0.0012,0.0014,0,0,nothing
0.0013,0.0014,0,0,nothing
0.0014,0.0014,0,0,nothing
0.0014,0.0014,0,0,nothing
0.0015,0.0014,0,0,nothing
0.0016,0.0014,0,0,nothing
0.0016,0.0014,0,0,nothing
0.0017,0.0014,0,0,nothing
0.0018,0.0014,0,0,nothing
0.0019,0.0014,0,0,nothing
0.0019,0.0014,0,0,nothing
0.0020,0.0014,0,0,nothing
0.0021,0.0014,0,0,nothing
0.0021,0.0014,0,0,nothing
0.0022,0.0014,0,0,nothing
0.0023,0.0014,0,0,nothing
0.0024,0.0014,0,0,nothing
0.0024,0.0014,0,0,nothing
0.0025,0.0014,0,0,nothing
0.0026,0.0014,0,0,nothing
0.0026,0.0014,0,0,nothing
0.0027,0.0014,0,0,nothing
0.0028,0.0014,0,0,nothing
0.0029,0.0014,0,0,nothing
0.0029,0.0014,0,0,nothing
0.0030,0.0014,0,0,nothing
0.0031,0.0014,0,0,nothing
0.0031,0.0014,0,0,nothing
0.0032,0.0014,0,0,nothing
0.0033,0.0014,0,0,nothing
0.0033,0.0014,0,0,nothing
0.0034,0.0014,0,0,nothing
0.0035,0.0014,0,0,nothing
0.0036,0.0014,0,0,nothing
0.0036,0.0014,0,0,nothing
0.0037,0.0014,0,0,nothing
0.0043,0.0129,0,0,main_engine
0.0052,0.0170,0,0,main_engine
0.0059,0.0136,0,0,main_engine
0.0066,0.0136,0,0,nothing
0.0072,0.0136,0,0,nothing
