# a0	a1	a2	a3
    -67.0072	    -64.0110	    -70.1580	    -13.5423
      6.2420	      4.8491	     17.0364	      3.5652
     -2.8108	     -5.2387	    -19.4296	     19.5165
    -33.2067	    -24.0123	    -49.8217	    -34.5617
    -19.2175	     -1.4568	    -16.7100	    -25.9884
     -0.9550	      1.2389	    -18.2380	     -0.1213
      4.8943	      4.9932	      5.1021	      8.5384
    -11.2463	     -1.9002	    -16.4867	     -7.9094
     10.9098	     -5.8324	     -6.5069	      1.9819
    -28.8315	    -37.8299	    -39.8220	    -24.1403
     -6.3653	     -4.4663	    -24.4060	      0.5415
     23.3568	     20.1182	     32.4655	     17.8567
     13.8634	      3.3347	      1.3508	      4.2398
     12.8060	     -7.2770	     -6.6347	    -15.7264
    -23.5867	    -27.5530	    -44.5321	    -19.9683
      5.8077	     19.7858	      5.6163	      8.0007
    -19.9843	    -12.7761	    -38.8788	    -20.5436
    -26.7482	    -17.0126	    -27.6502	    -25.0091
    -40.4545	    -24.7130	    -46.8727	    -37.8456
     23.0014	     12.7299	     17.6773	     18.0888
     -3.5714	    -33.5115	    -43.4561	    -37.3179
      8.8756	      1.7194	     -1.4681	      1.2661
    -43.3849	    -49.1956	    -17.8861	    -38.6477
      4.0149	     -5.9919	    -12.3707	      4.5539
     34.1563	     24.6263	      6.8673	     24.0554
    -16.5728	    -15.4982	    -15.8320	     -4.5883
     39.7554	     53.9271	     34.6145	     26.9442
     12.3845	      9.3933	     20.2431	      4.2582
    -22.4192	    -35.8698	    -24.2335	     -8.9137
     -4.4151	     29.8394	      2.2346	     -2.5974
    -55.0861	    -53.4259	    -62.7618	     -4.3259
      8.1620	     14.3276	    -12.0587	      0.6321
    -16.1794	      8.4724	    -23.8562	    -19.7853
    -23.1715	    -21.6347	    -25.4418	     -4.8831
     -3.8348	     -8.7750	     25.3334	      1.0516
    -20.2501	     -7.4286	    -23.0963	    -24.4695
     -4.4383	      8.1371	    -16.9036	     -1.6559
     10.7396	     -0.0867	    -25.6778	     -4.9738
     21.2450	     32.8933	    -20.8747	      9.7619
      8.0578	     12.6099	      8.1108	     -1.6617
    -84.8681	    -60.9959	    -79.6438	    -80.0638
    -18.3432	     -4.8816	    -20.3953	    -25.1988
     11.8351	     -4.7638	    -24.9345	      5.9213
   -124.8371	   -121.9311	   -137.0973	    -69.4126
     18.0907	      1.4539	    -20.2542	      8.1483
     30.3058	     18.6630	    -34.9307	     17.3033
    -20.9570	     -5.6802	    -31.0049	    -21.8663
    -25.6362	      4.7201	    -37.5076	    -26.8985
     19.7609	      1.7712	    -31.2802	      1.6880
      6.2347	     14.9623	      1.6632	     -0.8357
     16.5489	     13.2388	      4.8828	     31.5703
      3.9143	      1.1097	      0.3458	      9.5701
     -2.1126	      9.8320	    -17.7163	     -3.0854
